lambda,k,recall@k,ndcg@k,exposure_male,exposure_female,exposure_mixed,disparity_male,disparity_female,disparity_mixed
0.0,10,0.0746883879522637,0.06836045132435735,0.7770123113221815,0.10136725248797604,0.1216204361898424,0.007005144553753462,-0.36618216980221446,0.1703172452193477
0.1,10,0.07474900549346467,0.0683614189418746,0.7812467899720237,0.09993836746285431,0.11881484256512202,0.012968514486987746,-0.37838167821344454,0.13532846494606926
0.2,10,0.07486518911409991,0.06812324316715566,0.7851368548814418,0.09868557117344512,0.11617757394511312,0.018287259858571613,-0.3898690251848454,0.10473256333889983
0.3,10,0.07490560080823389,0.06787293890714112,0.7887522965973373,0.09760066908919629,0.11364703431346648,0.02299584519669041,-0.39829341652341516,0.07519467318545402
0.4,10,0.07494601250236788,0.06767234834972967,0.7912338477263586,0.09712835028320345,0.11163780199043792,0.025470099425550303,-0.4008839954925286,0.050684593111805114
0.5,10,0.07468333649049694,0.06739119058756064,0.792313827968915,0.09756531119197198,0.11012086083911303,0.025520918422685276,-0.3923929153241258,0.032643335951108986
0.6,10,0.07428174528004042,0.06701748582830122,0.7918102139173597,0.09903763264379523,0.10915215343884503,0.022809798447986095,-0.36964541585622573,0.01993101762313199
0.7,10,0.07368062132979732,0.06654806000719904,0.7916064106175854,0.10032084389770557,0.10807274548470905,0.01888204731601642,-0.3369521399207423,0.002289059740078462
0.8,10,0.07259708278082971,0.06582625850160384,0.7945110622381953,0.09946180191514643,0.10602713584665825,0.016111723910860132,-0.3022376956460053,-0.02946561262294732
0.9,10,0.07101597524783734,0.06480286456451657,0.8004607888719315,0.0964286269839761,0.10311058414409245,0.013162654389415114,-0.27355781532725204,-0.0753514062926242
1.0,10,0.025411378417629603,0.019687396703569154,0.808990555670824,0.09473146291045177,0.0962779814187242,0.007204914375401281,-0.2529920997206786,-0.18581321398548392
